"","ID","year","narrowness"
"J50_L_20160225DKE_SJ1-446 (1)_Processed","J50",2016,3.46583923845007
"J50_L_20160225DKE_SJ1-447_Processed","J50",2016,3.4866180251857
"J50_L_20160425KCB_SJ2-092_Processed","J50",2016,3.13865048229534
"J50_L_20170109DKE_SJ1-051_Processed","J50",2017,3.61973722573005
"J50_L_20170507DKE_JF1-322_Processed","J50",2017,3.62567490972977
"J50_L_20170531DKE_SJ1-0260_Processed","J50",2017,3.5908681161089
"J50_L_20180202DKE_SJ1-266_Processed","J50",2018,3.77971986198433
"J50_L_20180202DKE_SJ1-310_Processed","J50",2018,3.71051260775288
"J51_L_20150219DKE_GI1-469_Processed","J51",2015,3.6683241901419
"J51_L_20150219DKE_GI1-480_Processed","J51",2015,3.85339311479756
"J51_L_20150324DKE_SJ1-525_Processed","J51",2015,3.53069621668612
"J51_L_20150324DKE_SJ1-556_Processed","J51",2015,3.44068539091382
"J51_L_20150415DKE_SJ1-0438_Processed","J51",2015,3.33587781432764
"J51_L_20150415DKE_SJ1-0476_Processed","J51",2015,3.33311785090308
"J51_L_20150705DKE_SJ1-1484_Processed","J51",2015,3.56648832326475
"J51_L_20150723DKE_SJ1-1050_Processed","J51",2015,3.7171848126715
"J51_L_20150806DKE_SJ1-0550_Processed","J51",2015,3.71982377290937
"J51_L_20151024DKE_SJ1-1413_Processed","J51",2015,3.52322032640942
"J51_L_20160102DKE_SJ1-130_Processed","J51",2016,3.54527583538696
"J51_L_20160102DKE_SJ1-181_Processed","J51",2016,3.56884449107555
"J51_L_20160102DKE_SJ1-226_Processed","J51",2016,3.47660453671273
"J51_L_20160320MLM_JF7-138_Processed","J51",2016,3.77715219542767
"J51_L_20160707KCB_SJ1-0198_Processed","J51",2016,3.2396670656825
"J51_L_20160707KCB_SJ1-0203 (1)_Processed","J51",2016,3.7067549738832
"J51_L_20170513KCB_JF1-084_Processed","J51",2017,3.40968776685628
"J51_L_20170531DKE_SJ1-0190_Processed","J51",2017,3.81671268298253
"J51_L_20170531DKE_SJ1-0588_Processed","J51",2017,3.76625827325029
"J51_L_20180202DKE_SJ1-093_Processed","J51",2018,3.80781681138753
"J51_L_20180202MAP_SJ1-0262_Processed","J51",2018,3.67342975095646
"J51_L_20180615MNW_SJ1-311_Processed","J51",2018,3.96641223398455
"J52_L_20150330JCH_GS7-0748_Processed","J52",2015,3.13191773971478
"J52_L_20150330JCH_GS7-0856_Processed","J52",2015,3.30759424318866
"J52_L_20150407DKE_SJ1-565_Processed","J52",2015,3.19122555210282
"J52_L_20150621DKE_SJ2-534_Processed","J52",2015,2.83651739930102
"J52_L_20150914KCB_SJ2-334_Processed","J52",2015,2.87473491324151
"J52_L_20160225DKE_SJ1-405_Processed","J52",2016,2.86458308990295
"J52_L_20160225DKE_SJ1-406_Processed","J52",2016,2.86054526397538
"J52_L_20160225DKE_SJ1-422_Processed","J52",2016,2.91435242512627
"J52_L_20160225DKE_SJ1-423_Processed","J52",2016,2.8726612057341
"J52_L_20160320KCB_SJ1-051_Processed","J52",2016,3.10589447598192
"J52_L_20160414MLM_JF7-027_Processed","J52",2016,3.14467048570918
"J52_L_20160503DKE_SJ2-095_Processed","J52",2016,2.7887953334057
"J52_L_20160513DAG_SJ5-121_Processed","J52",2016,3.10100653960499
"J52_L_20161002KCB_JF1-088_Processed","J52",2016,2.96370642819043
"J52_L_20161002KCB_JF1-123_Processed","J52",2016,3.03175644418173
"J52_L_20161221DKE_SJ1-092_Processed","J52",2016,2.91823009911395
"J52_L_20170531DKE_SJ1-0633_Processed","J52",2017,2.9062945152756
"J53_L_20151220DKE_SJ1-453_Processed","J53",2015,3.67269519831007
"J53_L_20160312DAG_SJ1-039_Processed","J53",2016,3.81427024056286
"J53_L_20160312DKE_SJ1-047_Processed","J53",2016,3.81735069185978
"J53_L_20160331DAG_SJ1-227_Processed","J53",2016,3.73636264076961
"J53_L_20160708KCB_JF1-0299_Processed","J53",2016,3.21365853631681
"J53_L_20160708KCB_JF1-0366_Processed","J53",2016,3.69460997436815
"J53_L_20160919KCB_SJ2-1431_Processed","J53",2016,3.81971620056158
"J53_L_20160919KCB_SJ2-1500_Processed","J5",2016,3.95910827787151
"J53_L_20170513KCB_JF1-054_Processed","J5",2017,4.04145624612456
"J53_L_20180331DKE_SJ1-458_Processed","J53",2018,3.59973726285947
"J53_L_20180721SCE_JF7-002_Processed","J53",2018,2.89527180652689
"J53_L_20180912AVG_SJ1-082_Processed","J53",2018,3.83848753486194
"J53_L_20180912DKE_SJ1-0319_Processed","J53",2018,3.9335877749538
"J54_L_20160324MLM_GI7-023_Processed","J54",2016,3.12455238365243
"J54_L_20160331DAG_SJ1-035_Processed","J54",2016,3.2628355877585
"J54_L_20160331DKE_SJ1-036_Processed","J54",2016,3.20951613471045
"K13_L_20150914HLM_SJ2-600_Processed","K13",2015,3.96241922714438
"K14_L_20120831BAB_SJ1-0154_Processed","K14",2012,3.36293506616953
"K14_L_20121023DKE_SJ2-042_Processed","K14",2012,3.58687696777201
"K14_L_20140702DKE_SJ1-336_Processed","K14",2014,3.58816756218722
"K14_L_20160102DKE_SJ1-271_Processed","K14",2016,3.18452829820736
"K14_L_20160102HLM_SJ1-205_Processed","K14",2016,3.42845247358261
"K20_L_20080730DKE_DG1-125_Processed","K20",2008,3.60665948999127
"K20_L_20130115JKJ_CA7-0316_Processed","K20",2013,3.40978615391917
"K25_L_20100824DKE_SJ1-721_Processed","K25",2010,3.26734558401438
"K25_L_20180921MLM_JF7-6928_Processed","K25",2018,3.31337069399066
"K26_L_20080706KCG_DG1-043_Processed","K26",2008,3.80577592657898
"K26_L_20150806MAP_SJ1-1153_Processed","K26",2015,3.775250144346
"K26_L_20180702SCE_JF7-010_Processed","K26",2018,3.71598172922294
"K27_L_20120813DKE_SJ2-1036_Processed","K27",2012,3.66657653096102
"K27_L_20120813DKE_SJ2-1037_Processed","K27",2012,3.50997924720748
"K27_L_20150914KCB_SJ2-510_Processed","K27",2015,3.53474894297258
"K33_L_20040927ACU_DG1- 159_Processed","K33",2004,3.36326922889858
"K33_L_20080918DKE_DG1-045_Processed","K33",2008,3.23452957790943
"K33_L_20160606DKE_SJ2-765_Processed","K33",2016,3.15784521973154
"K33_L_20160907DKE_SJ1-1190_Processed","K33",2016,3.23956399336291
"K34_L_20140818KCB_SJ1-283_Processed","K34",2014,3.59350519035606
"K34_L_20180915DKE_SJ1-020_Processed","K34",2018,3.45335787262633
"K35_L_20040711KCG_DG1-040_Processed","K35",2004,3.6588741901715
"K35_L_20090702KCB_DG1-771_Processed","K35",2009,3.76050078081817
"K35_L_20110826EEH_SJ1-142_Processed","K35",2011,4.19518297513194
"K35_L_20180712DKE_SJ1-1015_Processed","K35",2018,3.53756177057375
"K36_L_20080621SAM_DG1_083_Processed","K36",2008,3.81801441493154
"K37_L_20040711ACU_DG1-074_Processed","K37",2004,3.19727840067328
"K37_L_20060919DKE_DG1-203_Processed","K37",2006,3.38383370042526
"K37_L_20160820DKE_SJ1-1029_Processed","K37",2016,3.42895321212153
"K40_L_20100824DKE_SJ1-862_Processed","K40",2010,3.31648492684438
"K42_L_20080730DKE_DG1-066_Processed","K42",2008,3.17783157664511
"K42_L_20080730KCG_DG1-077_Processed","K42",2008,3.21973621593772
