"","ID","year","narrowness"
"J47_R_20100129KCB_DG4-1327_Processed","J47",2010,2.89238308491164
"J47_R_20100608EAF_DG1_100_Processed","J47",2010,2.76701484292412
"J47_R_20100824DKE_SJ1-116_Processed","J47",2010,2.8984065154197
"J47_R_20100921STJ_SJ1-567_Processed","J47",2010,2.95585903927581
"J47_R_20101017DJM_GI1-110_Processed","J47",2010,2.92715269553123
"J47_R_20110402DLS_SJ1-082_Processed","J47",2011,3.13111959275858
"J47_R_20110503DKE_GI1-567_Processed","J47",2011,3.06016510489117
"J47_R_20130515DKE_JF1-754_Processed","J47",2013,3.00673162845259
"J47_R_20160406MLM_JF7-012_Processed","J47",2016,3.74552687135753
"J47_R_20160920DKE_SJ1-1083_Processed","J47",2016,3.28571797963512
"J47_R_20170531DKE_SJ1-0482_Processed","J47",2017,3.28439174965844
"J49_R_20120809DKE_SJ2-055_Processed","J49",2012,2.99525563958704
"J49_R_20120809SAM_SJ2-048_Processed","J49",2012,2.98802974841797
"J49_R_20120831BAB_SJ1-0549_Processed","J49",2012,3.07587700190733
"J49_R_20130515DKE_JF1-515_Processed","J49",2013,2.89096731293355
"J49_R_20130710KCB_SJ1-103_Processed","J49",2013,2.85142155869217
"J49_R_20140619DKE_SJ1-0939_Processed - Copy","J49",2014,2.9733935873502
"J49_R_20140619DKE_SJ1-0939_Processed","J49",2014,2.9733935873502
"J49_R_20140619DKE_SJ1-1009_Processed - Copy","J49",2014,3.23811011419725
"J49_R_20140619DKE_SJ1-1009_Processed","J49",2014,3.23811011419725
"J49_R_20150522DKE_GI1-278_Processed","J49",2015,3.51204987540381
"J49_R_20150712DKE_SJ1-0861_Processed - Copy","J49",2015,2.97922537768035
"J49_R_20150712DKE_SJ1-0861_Processed","J49",2015,2.97922537768035
"J49_R_20160906KCB_JF1-0423_Processed","J49",2016,3.18426481452453
"J50_R_20150110CKE_PS7-242_Processed","J50",2015,2.67867105762206
"J50_R_20150119DKE_SJ1-867_Processed - Copy","J50",2015,2.75669259685002
"J50_R_20150119DKE_SJ1-867_Processed","J50",2015,2.75669259685002
"J50_R_20150522DKE_GI1-086_Processed - Copy","J50",2015,3.01476727399076
"J50_R_20150522DKE_GI1-086_Processed","J50",2015,3.01476727399076
"J50_R_20150627KCB_SJ2-166_Processed - Copy","J50",2015,3.15784820732366
"J50_R_20150627KCB_SJ2-166_Processed","J50",2015,3.15784820732366
"J50_R_20150728DKE_SJ1-351_Processed","J50",2015,2.86909019780505
"J50_R_20150826KCB_SJ1-451_Processed","J50",2015,2.83639064478693
"J50_R_20160320MLM_JF7-052_Processed","J50",2016,3.16897221763251
"J50_R_20160425KCB_SJ2-092 (1)_Processed","J50",2016,3.15137940063916
"J50_R_20160502DKE_SJ1-238_Processed","J50",2016,3.02781099201439
"J50_R_20180626KGA_VI7-328_Processed","J50",2018,2.94114214011733
"J50_R_20180626KGA_VI7-329_Processed","J50",2018,3.05541820273042
"J51_R_20150212JCH_SJ1-0189_Processed - Copy","J51",2015,3.08961481956081
